"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"LFT_01219",229.473271568732,0.027143107595351,0.215765577875745,0.12579906332873,0.899890983239407,0.945022936408106
"LFT_00921",792.407691931263,0.027563963337427,0.212907020002084,0.129464793303468,0.896989881334381,0.943445982223516
"LFT_01400",189.951009967143,0.0288165238861735,0.22519686051553,0.127961481435423,0.898179455745175,0.943882420720566
"LFT_01993",1671.98433007185,0.0295422429474711,0.176541607819834,0.167338698861403,0.867103556119755,0.92640568446464
"LFT_00211",15752.4592329622,0.0295620458178853,0.217032631852147,0.136210142989117,0.891655156955972,0.939841140314001
"LFT_00665",243.671199828423,0.0305128330872265,0.226401423516876,0.134773150332918,0.892791235054128,0.939841140314001
"LFT_00629",22.241145461399,0.0317802730731517,0.586746553320004,0.0541635445378051,0.956804865272744,0.98095643949082
"LFT_02357",6648.31501751887,0.0320176522376493,0.168111431922435,0.190454937368102,0.848952651594936,0.914969438064654
"LFT_00537",285.823883353882,0.0322332555634561,0.214111283201319,0.150544404206613,0.880335120403043,0.935212157115177
"LFT_01334",1047.03776283389,0.0324872089272347,0.269962733631656,0.120339605730771,0.904214131226078,0.947364504642283
"LFT_00841",47.5152084393868,0.0326407976093977,0.387490355517778,0.0842364129702839,0.932868467693993,0.965760601431717
"LFT_00600",855.461734579217,0.0333710880664733,0.204834026711888,0.162917697816935,0.870583236153832,0.927683142329204
"LFT_00892",559.865155532942,0.034271185316608,0.178912768508553,0.191552484500119,0.848092765030167,0.914514189548017
"LFT_02371",48.6064697736657,0.0355772541840651,0.406114192300031,0.0876040652078002,0.930191371036024,0.965760601431717
"LFT_02304",1458.11716019513,0.0361013412316477,0.156144243572562,0.231205072986703,0.817155489096103,0.897839462095222
"LFT_01851",231.274379192602,0.0364377602862972,0.241141221056053,0.15110548137196,0.87989250864259,0.935149604693411
"LFT_00610",323.021815090157,0.0366154906660721,0.291500411061469,0.125610425497311,0.900040309972595,0.945022936408106
"LFT_02129",592.550923032443,0.0372583019867208,0.190382314687137,0.195702537013214,0.84484299856107,0.91222081856151
"LFT_01129",242.007743046545,0.0382188796409565,0.222060981711986,0.172109838235907,0.863351178385653,0.925027928234403
"LFT_00043",267.186082285169,0.0385188873735418,0.267170610549801,0.144173370320467,0.885363568635051,0.936471795470321
"LFT_02587",465.514273892434,0.0391377977263171,0.199607215199922,0.196074063190139,0.844552196784984,0.91222081856151
"LFT_01264",291.188584767826,0.0408296082904379,0.19866837459499,0.205516395720628,0.837168689556898,0.9095765030986
"LFT_01695",35.0054582297272,0.0420029600242538,0.41983840130396,0.100045541079135,0.920308170233527,0.959277592326392
"LFT_02443",918.778811494141,0.0425469992943475,0.15745794485506,0.270211829155473,0.786997292731996,0.879455369617006
"LFT_01951",145.053650562991,0.0430936374297677,0.272459388577616,0.158165360550574,0.874326498410564,0.930045253874528
"LFT_02059",411.741735354224,0.0441503637080375,0.180761912021747,0.244245943264452,0.80704034671685,0.891953435351003
"LFT_02333",696.352102649476,0.0441755230262489,0.186136925807765,0.237328100453704,0.812402263728008,0.895658868632474
"LFT_01360",311.254115967604,0.0445884144265416,0.206523614356742,0.215899835790793,0.829065825101708,0.905212103840889
"LFT_00919",722.05457480086,0.045534962180379,0.20497440044124,0.222149507852482,0.824197498877934,0.901512255280757
"LFT_01233",2419.74830753767,0.0458900542203795,0.156858902049812,0.292556263117324,0.769861348639078,0.869550840143653
"LFT_01512",637.292859744853,0.0467304616694636,0.182863263467955,0.255548658507085,0.798299366729143,0.886312326523426
"LFT_00252",1775.60286137217,0.0470169195051263,0.160336497944514,0.293239032334341,0.769339451237415,0.869550840143653
"LFT_01478",663.775040107205,0.0472124481763143,0.240975013075047,0.195922587880972,0.844670757312453,0.91222081856151
"LFT_00985",280.678448850224,0.0483446079404545,0.254371354727013,0.190055236338766,0.849265846902851,0.914969438064654
"LFT_00559",83.9003134594643,0.0485189142718243,0.285349617091668,0.170033220182096,0.86498401110916,0.925764617950384
"LFT_01692",1922.81525276218,0.0490381674724594,0.175846638484146,0.278868950212435,0.780345397754824,0.87613305186462
"LFT_01849",2681.36956829669,0.0496413320125392,0.182457307441278,0.272070944752464,0.7855674698509,0.87898435446586
"LFT_02056",615.964689532337,0.0497504188719486,0.242656892393672,0.205023720452319,0.837553592424817,0.909589173234972
"LFT_01586",105.551633364622,0.0511876697717819,0.266812343282871,0.191848956993393,0.847860521039401,0.914514189548017
"LFT_00082",135.940244806659,0.0512945528699925,0.283902475413149,0.180676666504391,0.856621374775972,0.920046844569874
"LFT_01421",204.736220053112,0.0514137880706202,0.239373929734898,0.214784409177557,0.829935408901853,0.905625287453817
"LFT_01415",658.835749685781,0.0515961711560538,0.196522605566792,0.262545731099204,0.792900733152534,0.882328350088003
"LFT_01105",2116.40573917405,0.0516932834443668,0.307231310388599,0.168255258160319,0.866382470798971,0.926041263744339
"LFT_00172",1247.63173877193,0.052016047494848,0.186801688226507,0.27845598178843,0.780662350720837,0.87613305186462
"LFT_00601",770.312671276369,0.0521213781838418,0.179126886608536,0.29097462235107,0.7710707285804,0.869550840143653
"LFT_00495",54.9827966534688,0.0524597413136213,0.359021006843257,0.146118863001586,0.883827555713954,0.936236176926814
"LFT_00461",1855.4264978086,0.0524839587573118,0.176547963229584,0.297278755286808,0.766253699715118,0.868676180046819
"LFT_00818",376.837705064895,0.0525466093185071,0.191208216114831,0.27481355344558,0.783459484733027,0.877991813647535
"LFT_02353",214.17015587316,0.0526422815347821,0.210399341455161,0.250201740987867,0.802431338953716,0.889279296512145
"LFT_00117",1875.54149126657,0.0533797759996716,0.171204361041562,0.31178981466899,0.755200265187587,0.865186850231978
